Nodes,Goals,Nodes Created,Time
4,7,9,0.00032
5,6,12,0.00035
6,26,32,0.00115
7,11,22,0.00052
8,9,26,0.00085
9,30,52,0.0015
10,53,79,0.00225
11,89,122,0.00414
12,141,181,0.00569
13,93,140,0.00465
14,127,185,0.00603
15,161,227,0.00781
16,955,1026,0.0367
17,95,180,0.00664
18,505,609,0.02163
19,141,254,0.00997
20,231,356,0.01503
21,163,295,0.01243
22,1167,1317,0.05682
23,707,869,0.04124
24,155,341,0.01644
25,1964,2155,0.1056
